Knr,Naering,Kjonn,ContentsCode,Aar,Haugesund,Sauda,Bokn,Tysvaer,Karmoy,Utsira,Vindafjord,1145_55-66,1145_67-74,1146_15-74,1146_55-66,1146_67-74,1149_15-74,1149_55-66,1149_67-74,1151_15-74,1151_55-66,1151_67-74,1160_15-74,1160_55-66,1160_67-74
1106,68-75,0,SysselsatteArb,2009,1028,205,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2010,1207,237,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2011,1239,251,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2012,1284,255,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2013,1372,262,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2014,1391,250,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2015,1384,252,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2016,1332,236,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2017,1369,236,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2018,1202,217,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2019,1173,211,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,68-75,0,SysselsatteArb,2020,1098,204,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,77-82,0,SysselsatteArb,2008,1029,124,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
